,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
34,0.8745765289420309,0.983256665263158,0.8513486108294464,0.8634306869600987,0.8396,20.626446962356567,Completed,DAE,50000,minmax,none,,0.02,0.05,creditcard
35,0.8029181118076368,0.9609245136842106,0.7735094037615047,0.7738190552441954,0.7732,5.897491455078125,Completed,HST,50000,minmax,none,,,0.05,creditcard
36,0.9027491158578349,0.9856595705263157,0.8583145376255895,0.8805216659655027,0.8372,22.733681678771973,Completed,PW-AE,50000,minmax,none,,0.1,0.05,creditcard
37,0.849913896132747,0.9778081936842106,0.8312589267496429,0.8483965014577259,0.8148,20.88003921508789,Completed,DAE,50000,minmax,none,,0.02,0.05,creditcard
38,0.7467102621319737,0.9584662442105263,0.720198359717719,0.6882974845060154,0.7552,5.902881383895874,Completed,HST,50000,minmax,none,,,0.05,creditcard
39,0.9037191063720025,0.985893785263158,0.8561136682009205,0.8566279535442531,0.8556,22.571372985839844,Completed,PW-AE,50000,minmax,none,,0.1,0.05,creditcard
40,0.8672015335832742,0.9811811368421053,0.8376811594202899,0.8682403433476394,0.8092,20.647923707962036,Completed,DAE,50000,minmax,none,,0.02,0.05,creditcard
41,0.8352286683698177,0.9718902399999999,0.7802822835475036,0.8242100578549176,0.7408,5.912588834762573,Completed,HST,50000,minmax,none,,,0.05,creditcard
42,0.8985506333104747,0.9845381726315788,0.8595008051529791,0.8650729335494327,0.854,22.766541719436646,Completed,PW-AE,50000,minmax,none,,0.1,0.05,creditcard
43,0.862867950566178,0.9775641768421054,0.8426501035196687,0.8733905579399142,0.814,20.788451433181763,Completed,DAE,50000,minmax,none,,0.02,0.05,creditcard
44,0.7785370253117347,0.957311667368421,0.7158343012001549,0.6935483870967742,0.7396,5.997877359390259,Completed,HST,50000,minmax,none,,,0.05,creditcard
45,0.9103292369718456,0.97028956,0.864700325390994,0.9098740888005301,0.8238,22.587159633636475,Completed,PW-AE,50000,minmax,none,,0.1,0.1,creditcard
46,0.8643711664790936,0.9616564933333335,0.8266023287527535,0.8691815574674608,0.788,20.664132833480835,Completed,DAE,50000,minmax,none,,0.02,0.1,creditcard
47,0.8182039405431782,0.95051464,0.7430886075949367,0.7526153846153846,0.7338,5.956507921218872,Completed,HST,50000,minmax,none,,,0.1,creditcard
48,0.9131747911867311,0.9710634622222222,0.8678319533885311,0.887518293957767,0.849,22.54141116142273,Completed,PW-AE,50000,minmax,none,,0.1,0.1,creditcard
49,0.8721257524253649,0.9619239911111112,0.837471783295711,0.859882005899705,0.8162,20.586292266845703,Completed,DAE,50000,minmax,none,,0.02,0.1,creditcard
50,0.8909588019469841,0.968518791111111,0.8250775649941158,0.8870485392224523,0.7712,5.967458009719849,Completed,HST,50000,minmax,none,,,0.1,creditcard
51,0.912987968237776,0.9716486844444444,0.8663366336633663,0.8943781942078365,0.84,22.812519550323486,Completed,PW-AE,50000,minmax,none,,0.1,0.1,creditcard
52,0.8816421316691002,0.9660627555555555,0.84566995177186,0.8887174966945791,0.8066,20.580899000167847,Completed,DAE,50000,minmax,none,,0.02,0.1,creditcard
53,0.8145733207870401,0.9385309000000001,0.7348712113375402,0.761088493679023,0.7104,6.003782749176025,Completed,HST,50000,minmax,none,,,0.1,creditcard
54,0.9170642627409208,0.9725890800000001,0.8747450020399837,0.8925895087427144,0.8576,22.611398696899414,Completed,PW-AE,50000,minmax,none,,0.1,0.1,creditcard
55,0.8791706834368769,0.9659048577777777,0.847051533615615,0.8757206918641897,0.8202,20.78976321220398,Completed,DAE,50000,minmax,none,,0.02,0.1,creditcard
56,0.8442277507717728,0.9592591044444445,0.7504960835509138,0.7853551912568306,0.7186,6.020419597625732,Completed,HST,50000,minmax,none,,,0.1,creditcard
57,0.9184388807878526,0.9745627955555557,0.8698615988432142,0.8994019649722341,0.8422,22.409782886505127,Completed,PW-AE,50000,minmax,none,,0.1,0.1,creditcard
58,0.878950396454578,0.9650055688888889,0.8362952122099101,0.8760402978537013,0.8,20.662288188934326,Completed,DAE,50000,minmax,none,,0.02,0.1,creditcard
59,0.8958289419072909,0.9688739222222222,0.8335533665075658,0.846709304724572,0.8208,5.926803827285767,Completed,HST,50000,minmax,none,,,0.1,creditcard
60,0.9481057512873162,0.9861122537621199,0.9444908180300501,0.9873472949389179,0.9052,20.69532585144043,Completed,PW-AE,50000,minmax,none,,0.1,0.05,shuttle
61,0.9265824005156207,0.983417259684991,0.9186318249415764,0.9796103307657453,0.8648,18.586433172225952,Completed,DAE,50000,minmax,none,,0.02,0.05,shuttle
62,0.4789763515439533,0.9597373053130347,0.6553823311061617,0.521133412042503,0.8828,5.138116359710693,Completed,HST,50000,minmax,none,,,0.05,shuttle
63,0.9461744524967504,0.9849775369631028,0.9310272973536153,0.9717268377555459,0.8936,20.608492612838745,Completed,PW-AE,50000,minmax,none,,0.1,0.05,shuttle
