,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,latent_dim,lr,dataset
268,0.8456767432401084,0.9704422199208376,0.7873303167420815,0.7818028643639428,0.7929364853318143,13.153732061386108,Completed,AE,50000,minmax,none,,1.4000000000000001,0.02,shuttle
269,0.9188445256093288,0.9805676821708803,0.8919526449872622,0.9411764705882353,0.8476217601822843,13.192400693893433,Completed,AE,50000,minmax,none,,1.4000000000000001,0.02,shuttle
270,0.9187880170633541,0.9795981437234642,0.8914903196758217,0.942258883248731,0.8459128453432071,13.20620846748352,Completed,AE,50000,minmax,none,,1.5000000000000002,0.02,shuttle
271,0.8468773044023091,0.9703155177022412,0.7750354609929079,0.7719694829047754,0.778125890059812,13.441251516342163,Completed,AE,50000,minmax,none,,1.5000000000000002,0.02,shuttle
272,0.6739310794591822,0.953913825222015,0.6235057653654924,0.495960955907102,0.8393620051267445,13.160834550857544,Completed,AE,50000,minmax,none,,1.5000000000000002,0.02,shuttle
273,0.6726254155453297,0.9556724612631038,0.6358473421172195,0.5288116380124693,0.7972087724295073,13.16711163520813,Completed,AE,50000,minmax,none,,1.5000000000000002,0.02,shuttle
274,0.864771307975211,0.9735526816003799,0.8444379647178888,0.8649940262843488,0.8248362289945884,13.232106447219849,Completed,AE,50000,minmax,none,,1.5000000000000002,0.02,shuttle
275,0.8319687429523681,0.9709589193032389,0.7597658908397986,0.7275808133472367,0.7949302193107377,13.344826698303223,Completed,AE,50000,minmax,none,,1.6,0.02,shuttle
276,0.9184227735233961,0.981323653123052,0.8894943990311837,0.9492730210016155,0.8367986328681287,13.352688789367676,Completed,AE,50000,minmax,none,,1.6,0.02,shuttle
277,0.8958741137467684,0.9776559303567282,0.8588505747126437,0.9296615792966157,0.7980632298490459,13.343538522720337,Completed,AE,50000,minmax,none,,1.6,0.02,shuttle
278,0.880547417960665,0.9777223335905781,0.8319248826291079,0.9232372351510941,0.7570492737111933,13.181015968322754,Completed,AE,50000,minmax,none,,1.6,0.02,shuttle
279,0.8774119980384245,0.9752464701476666,0.8391523098033238,0.9028871391076115,0.783822272856736,13.27107572555542,Completed,AE,50000,minmax,none,,1.6,0.02,shuttle
280,0.8645309432389604,0.9755078969552268,0.8076358296622613,0.8335859351318582,0.7832526345770435,13.275462627410889,Completed,AE,50000,minmax,none,,1.7000000000000002,0.02,shuttle
281,0.9027726892629129,0.9783672284521037,0.8598473282442748,0.926620598881211,0.8020506978068926,13.300016164779663,Completed,AE,50000,minmax,none,,1.7000000000000002,0.02,shuttle
282,0.9102524681996133,0.977878188753204,0.8791174642635177,0.9671794871794872,0.8057533466248932,13.256781101226807,Completed,AE,50000,minmax,none,,1.7000000000000002,0.02,shuttle
283,0.8393964300560987,0.9734431987374939,0.7892810074681506,0.8122362869198312,0.7675875818855027,13.290514469146729,Completed,AE,50000,minmax,none,,1.7000000000000002,0.02,shuttle
284,0.888518803673527,0.9752030156415105,0.8361564521096396,0.9101575595038551,0.7732839646824267,13.281070232391357,Completed,AE,50000,minmax,none,,1.7000000000000002,0.02,shuttle
285,0.7856101549969767,0.9689896210645854,0.7244635193133047,0.7277953434895085,0.7211620620905724,13.2104332447052,Completed,AE,50000,minmax,none,,1.8000000000000003,0.02,shuttle
286,0.8494717984833325,0.9749967332582972,0.8140894475299619,0.8360852596817773,0.7932213044716605,13.255929946899414,Completed,AE,50000,minmax,none,,1.8000000000000003,0.02,shuttle
287,0.4487737433242796,0.9420643718247204,0.6004319654427647,0.45812734082397005,0.8709769296496724,13.251781702041626,Completed,AE,50000,minmax,none,,1.8000000000000003,0.02,shuttle
288,0.8543897662880238,0.9751963303328711,0.7784212130448035,0.8371025893149787,0.7274280831671889,13.293560981750488,Completed,AE,50000,minmax,none,,1.8000000000000003,0.02,shuttle
289,0.9211814496719362,0.9812042360164867,0.8918590522478737,0.9554181581516433,0.8362289945884364,13.32105278968811,Completed,AE,50000,minmax,none,,1.8000000000000003,0.02,shuttle
290,0.8666259916668806,0.9776318007661063,0.8288721804511278,0.8779866199426569,0.7849615494161207,13.418649196624756,Completed,AE,50000,minmax,none,,1.9000000000000001,0.02,shuttle
291,0.8399346237098082,0.9729717282796165,0.7583959189457277,0.754653130287648,0.762176018228425,13.352360725402832,Completed,AE,50000,minmax,none,,1.9000000000000001,0.02,shuttle
292,0.6275384458126191,0.950162442378419,0.6026525198938991,0.4802164355765979,0.8088863571632013,13.234066247940063,Completed,AE,50000,minmax,none,,1.9000000000000001,0.02,shuttle
293,0.6652288951626527,0.9541762079662314,0.6332940293707794,0.5077346167067721,0.8413557391056679,13.313831329345703,Completed,AE,50000,minmax,none,,1.9000000000000001,0.02,shuttle
294,0.7789329154299831,0.9703118251626095,0.7225973279701192,0.7289855072463768,0.7163201367131872,13.227420091629028,Completed,AE,50000,minmax,none,,1.9000000000000001,0.02,shuttle
295,0.895116913895919,0.979236218607993,0.8677065280184865,0.8801640785232933,0.8555966960979778,13.677433729171753,Completed,AE,50000,minmax,none,,2.0,0.02,shuttle
296,0.7866367543344825,0.9677248856290518,0.7645022843693756,0.7438038793103449,0.7863856451153518,13.346580505371094,Completed,AE,50000,minmax,none,,2.0,0.02,shuttle
297,0.8603032811731132,0.9759111210334143,0.8026817004418709,0.8630406290956749,0.7502136143548847,13.257724285125732,Completed,AE,50000,minmax,none,,2.0,0.02,shuttle
298,0.7872040680323087,0.9701716148717902,0.7061119921922654,0.6175842936406317,0.824266590714896,13.192580223083496,Completed,AE,50000,minmax,none,,2.0,0.02,shuttle
299,0.9375295786389868,0.9820426674391467,0.925697503671072,0.9554410427402243,0.8977499287952151,13.376448392868042,Completed,AE,50000,minmax,none,,2.0,0.02,shuttle
300,0.7776879338455424,0.9912872139154486,0.7308781869688384,0.7485493230174082,0.7140221402214022,21.563088178634644,Completed,DAE,50000,minmax,none,,0.1,0.02,covertype
301,0.30758355354402167,0.9337718283163663,0.3902439024390244,0.4343891402714932,0.35424354243542433,21.64451575279236,Completed,DAE,50000,minmax,none,,0.1,0.02,covertype
302,0.6644333102438142,0.9827941155184935,0.6560951437066402,0.708779443254818,0.6107011070110702,21.577281713485718,Completed,DAE,50000,minmax,none,,0.1,0.02,covertype
303,0.718125652079513,0.9808821723422864,0.6795224977043158,0.676416819012797,0.6826568265682657,21.590363264083862,Completed,DAE,50000,minmax,none,,0.1,0.02,covertype
304,0.755635747567714,0.9901544924099004,0.6966731898238747,0.7416666666666667,0.6568265682656826,21.292998552322388,Completed,DAE,50000,minmax,none,,0.1,0.02,covertype
305,0.7246906674163754,0.9820899137051544,0.7037433155080215,0.8371501272264631,0.6070110701107011,21.64897847175598,Completed,DAE,50000,minmax,none,,0.2,0.02,covertype
