optimizer_fn,dataset,model,lr,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,seed,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,seed_std
adam,covertype,DAE,0.004000000000000001,0.35868661447579786,0.9732812171018714,0.36329588014981273,0.27452830188679245,0.5369003690036901,293.2335832118988,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.008000000000000004,0.30287829733798355,0.9588343175073144,0.33477011494252873,0.2741176470588235,0.42988929889298894,353.5328800678253,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.016,0.28116920293285325,0.9416861434779579,0.31652839821314616,0.24195121951219511,0.4575645756457565,270.97596764564514,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.03200000000000001,0.1804025892529628,0.879570223883726,0.23972125435540068,0.19260918253079506,0.3173431734317343,273.0274860858917,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.06399999999999999,0.4574422920351011,0.9486480310029354,0.5734375,0.497289972899729,0.6771217712177122,295.1726322174072,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.128,0.5699173925911429,0.9357082807149798,0.590818363273453,0.6434782608695652,0.5461254612546126,331.9965763092041,50000.0,42.0,,,,,,,,
adam,covertype,DAE,0.256,0.4747115602438259,0.9619348274035938,0.5339449541284405,0.531021897810219,0.5369003690036901,301.44838428497314,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.001,0.6185848425904571,0.9900005356962464,0.558180227471566,0.5307820299500832,0.5885608856088561,303.0219392776489,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.0020000000000000005,0.33541612795143827,0.9679014987408154,0.4256816182937555,0.40672268907563025,0.44649446494464945,343.33293867111206,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.004000000000000001,0.017300833119440393,0.7175051357452795,0.04690358707102067,0.02417833666761932,0.7804428044280443,304.1122815608978,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.008000000000000004,0.017672746456360248,0.7038651006429996,0.039201080124773025,0.02010794287624779,0.7767527675276753,314.52150297164917,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.016,0.03172872675185115,0.7411097925124586,0.08246773685867169,0.04971537001897533,0.24169741697416974,316.4646227359772,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.03200000000000001,0.04608122938678574,0.829012473067834,0.10726150925486473,0.061546840958605666,0.41697416974169743,308.77906036376953,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.06399999999999999,0.3838442404633198,0.9634948748492701,0.5059797608095676,0.5045871559633027,0.507380073800738,367.75151681900024,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.128,0.28291629303594834,0.9450080943852021,0.46270066100094426,0.4738878143133462,0.45202952029520294,367.8686249256134,50000.0,42.0,,,,,,,,
adam,covertype,PW-AE,0.256,0.47716000046197354,0.9743840575006503,0.4880083420229405,0.5611510791366906,0.4317343173431734,373.2354278564453,50000.0,42.0,,,,,,,,
adam,creditcard,AE,0.001,0.1395666687911244,0.9605029536075431,0.256,0.18181818181818182,0.43243243243243246,225.4543421268463,50000.0,42.0,,,,,,,,
adam,creditcard,AE,0.0020000000000000005,0.12362818849073688,0.9587103502041718,0.23673469387755103,0.1695906432748538,0.3918918918918919,222.766699552536,50000.0,42.0,,,,,,,,
adam,creditcard,AE,0.004000000000000001,0.17444743525043024,0.9590256076906563,0.27893175074183973,0.24867724867724866,0.31756756756756754,209.38695907592773,50000.0,42.0,,,,,,,,
adam,creditcard,AE,0.008000000000000004,0.20266889848493655,0.9625087556464432,0.3495702005730659,0.3034825870646766,0.41216216216216217,210.35627388954163,50000.0,42.0,,,,,,,,
adam,creditcard,AE,0.016,0.1856692033541788,0.9617528695750232,0.31388329979879276,0.22349570200573066,0.527027027027027,202.51548552513123,50000.0,42.0,,,,,,,,
